component,interface,entry_type,name,out_param,arg1_type,arg1_name,arg2_type,arg2_name,arg3_type,arg3_name,arg4_type,arg4_name,arg5_type,arg5_name,arg6_type,arg6_name,arg7_type,arg7_name,arg8_type,arg8_name
coreobjects,IArgumentInfo,factory,createArgumentInfo,IArgumentInfo** obj,IString*,name,CoreType,type,,,,,,,,,,,,
coreobjects,IArgumentInfo,factory,createDictArgumentInfo,IArgumentInfo** obj,IString*,name,CoreType,keyType,CoreType,itemType,,,,,,,,,,
coreobjects,IArgumentInfo,factory,createListArgumentInfo,IArgumentInfo** obj,IString*,name,CoreType,itemType,,,,,,,,,,,,
coreobjects,IArgumentInfo,function,getItemType,,CoreType*,itemType,,,,,,,,,,,,,,
coreobjects,IArgumentInfo,function,getKeyType,,CoreType*,keyType,,,,,,,,,,,,,,
coreobjects,IArgumentInfo,function,getName,,IString**,name,,,,,,,,,,,,,,
coreobjects,IArgumentInfo,function,getType,,CoreType*,type,,,,,,,,,,,,,,
coreobjects,IAuthenticationProvider,factory,createAuthenticationProvider,IAuthenticationProvider** obj,Bool,allowAnonymous,,,,,,,,,,,,,,
coreobjects,IAuthenticationProvider,factory,createJsonFileAuthenticationProvider,IAuthenticationProvider** obj,IString*,filename,,,,,,,,,,,,,,
coreobjects,IAuthenticationProvider,factory,createJsonStringAuthenticationProvider,IAuthenticationProvider** obj,IString*,jsonString,,,,,,,,,,,,,,
coreobjects,IAuthenticationProvider,factory,createStaticAuthenticationProvider,IAuthenticationProvider** obj,Bool,allowAnonymous,IList*,userList,,,,,,,,,,,,
coreobjects,IAuthenticationProvider,function,authenticate,,IString*,username,IString*,password,IUser**,userOut,,,,,,,,,,
coreobjects,IAuthenticationProvider,function,authenticateAnonymous,,IUser**,userOut,,,,,,,,,,,,,,
coreobjects,IAuthenticationProvider,function,findUser,,IString*,username,IUser**,userOut,,,,,,,,,,,,
coreobjects,IAuthenticationProvider,function,isAnonymousAllowed,,Bool*,allowedOut,,,,,,,,,,,,,,
