component,interface,name,parent,file_path
coreobjects,IArgumentInfo,createArgumentInfo; createDictArgumentInfo; createListArgumentInfo,IBaseObject,coreobjects\include\coreobjects\argument_info.h
coreobjects,IAuthenticationProvider,createAuthenticationProvider; createJsonFileAuthenticationProvider; createJsonStringAuthenticationProvider; createStaticAuthenticationProvider,IBaseObject,coreobjects\include\coreobjects\authentication_provider.h
coreobjects,ICallableInfo,createCallableInfo,IBaseObject,coreobjects\include\coreobjects\callable_info.h
coreobjects,ICoercer,createCoercer,IBaseObject,coreobjects\include\coreobjects\coercer.h
coreobjects,ICoreEventArgs,createCoreEventArgs; createCoreEventArgsAttributeChanged; createCoreEventArgsComponentAdded; createCoreEventArgsComponentRemoved; createCoreEventArgsComponentUpdateEnd; createCoreEventArgsDataDescriptorChanged; createCoreEventArgsDeviceDomainChanged; createCoreEventArgsDeviceLockStateChanged; createCoreEventArgsDeviceOperationModeChanged; createCoreEventArgsPropertyAdded; createCoreEventArgsPropertyObjectUpdateEnd; createCoreEventArgsPropertyOrderChanged; createCoreEventArgsPropertyRemoved; createCoreEventArgsPropertyValueChanged; createCoreEventArgsSignalConnected; createCoreEventArgsSignalDisconnected; createCoreEventArgsTagsChanged; createCoreEventArgsTypeAdded; createCoreEventArgsTypeRemoved,IEventArgs,coreobjects\include\coreobjects\core_event_args.h
coreobjects,IEndUpdateEventArgs,createEndUpdateEventArgs,IEventArgs,coreobjects\include\coreobjects\end_update_event_args.h
coreobjects,IEvalValue,createEvalValue; createEvalValueArgs; createEvalValueFunc,IBaseObject,coreobjects\include\coreobjects\eval_value.h
coreobjects,ILockGuard,,IBaseObject,coreobjects\include\coreobjects\object_lock_guard.h
coreobjects,IMutex,createMutex,IBaseObject,coreobjects\include\coreobjects\mutex.h
coreobjects,IOwnable,,IBaseObject,coreobjects\include\coreobjects\ownable.h
coreobjects,IPermissionManager,createPermissionManager,IBaseObject,coreobjects\include\coreobjects\permission_manager.h
coreobjects,IPermissionManagerInternal,,IBaseObject,coreobjects\include\coreobjects\permission_manager_internal.h
coreobjects,IPermissionMaskBuilder,createPermissionMaskBuilder; createPermissionMaskBuilderFromMask,IBaseObject,coreobjects\include\coreobjects\permission_mask_builder.h
coreobjects,IPermissions,,IBaseObject,coreobjects\include\coreobjects\permissions.h
coreobjects,IPermissionsBuilder,createPermissionsBuilder,IBaseObject,coreobjects\include\coreobjects\permissions_builder.h
coreobjects,IPermissionsInternal,,IBaseObject,coreobjects\include\coreobjects\permissions_internal.h
